none[0.9872]  arg1_node[0.0125]  arg2_node[0.0003]  none
none[0.6187]  arg1_node[0.3803]  arg2_node[0.0010]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.8425]  arg1_node[0.1569]  arg2_node[0.0006]  none
none[0.9512]  arg1_node[0.0447]  arg2_node[0.0041]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9987]  arg1_node[0.0006]  arg2_node[0.0007]  none
none[0.9990]  arg1_node[0.0004]  arg2_node[0.0005]  none
none[0.9867]  arg1_node[0.0123]  arg2_node[0.0010]  none
none[0.9878]  arg1_node[0.0119]  arg2_node[0.0003]  none
none[0.0841]  arg1_node[0.0010]  arg2_node[0.9149]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9473]  arg1_node[0.0000]  arg2_node[0.0526]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9970]  arg1_node[0.0000]  arg2_node[0.0030]  none
none[0.9791]  arg1_node[0.0207]  arg2_node[0.0003]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9790]  arg1_node[0.0207]  arg2_node[0.0003]  none
none[0.5310]  arg1_node[0.4680]  arg2_node[0.0010]  none
none[0.5917]  arg1_node[0.4074]  arg2_node[0.0009]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.8400]  arg1_node[0.1473]  arg2_node[0.0127]  none
none[0.9605]  arg1_node[0.0308]  arg2_node[0.0086]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9986]  arg1_node[0.0008]  arg2_node[0.0005]  none
none[0.9808]  arg1_node[0.0189]  arg2_node[0.0003]  none
none[0.9598]  arg1_node[0.0000]  arg2_node[0.0401]  none
none[0.0865]  arg1_node[0.0018]  arg2_node[0.9117]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0024]  none
none[0.2718]  arg1_node[0.7268]  arg2_node[0.0014]  arg1_node
none[0.9984]  arg1_node[0.0010]  arg2_node[0.0005]  none
none[0.9532]  arg1_node[0.0384]  arg2_node[0.0084]  none
none[0.9984]  arg1_node[0.0011]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0011]  arg2_node[0.0005]  none
none[0.9984]  arg1_node[0.0011]  arg2_node[0.0005]  none
none[0.9761]  arg1_node[0.0236]  arg2_node[0.0003]  none
none[0.9604]  arg1_node[0.0001]  arg2_node[0.0395]  none
none[0.0878]  arg1_node[0.0023]  arg2_node[0.9099]  arg2_node
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.9976]  arg1_node[0.0000]  arg2_node[0.0023]  none
none[0.1190]  arg1_node[0.8787]  arg2_node[0.0023]  arg1_node
none[0.9756]  arg1_node[0.0234]  arg2_node[0.0010]  none
none[0.9771]  arg1_node[0.0226]  arg2_node[0.0003]  none
none[0.0855]  arg1_node[0.0019]  arg2_node[0.9126]  arg2_node
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9482]  arg1_node[0.0000]  arg2_node[0.0517]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9772]  arg1_node[0.0204]  arg2_node[0.0025]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.9977]  arg1_node[0.0000]  arg2_node[0.0022]  none
none[0.1029]  arg1_node[0.8967]  arg2_node[0.0004]  arg1_node
none[0.9985]  arg1_node[0.0005]  arg2_node[0.0010]  none
none[0.0644]  arg1_node[0.0010]  arg2_node[0.9346]  arg2_node
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9644]  arg1_node[0.0002]  arg2_node[0.0354]  none
none[0.9985]  arg1_node[0.0002]  arg2_node[0.0013]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9712]  arg1_node[0.0260]  arg2_node[0.0028]  none
none[0.9959]  arg1_node[0.0014]  arg2_node[0.0027]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9964]  arg1_node[0.0002]  arg2_node[0.0034]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9972]  arg1_node[0.0002]  arg2_node[0.0026]  none
none[0.9964]  arg1_node[0.0002]  arg2_node[0.0034]  none
none[0.9964]  arg1_node[0.0002]  arg2_node[0.0034]  none
none[0.9964]  arg1_node[0.0002]  arg2_node[0.0034]  none
none[0.9964]  arg1_node[0.0002]  arg2_node[0.0034]  none
none[0.8754]  arg1_node[0.0305]  arg2_node[0.0941]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9965]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9965]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9965]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9965]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9775]  arg1_node[0.0212]  arg2_node[0.0013]  none
none[0.9771]  arg1_node[0.0216]  arg2_node[0.0013]  none
none[0.9659]  arg1_node[0.0315]  arg2_node[0.0025]  none
none[0.9476]  arg1_node[0.0240]  arg2_node[0.0284]  none
none[0.9964]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.9950]  arg1_node[0.0013]  arg2_node[0.0037]  none
none[0.2969]  arg1_node[0.6983]  arg2_node[0.0048]  arg1_node
none[0.9964]  arg1_node[0.0009]  arg2_node[0.0026]  none
none[0.5642]  arg1_node[0.3981]  arg2_node[0.0377]  none
none[0.7331]  arg1_node[0.1387]  arg2_node[0.1282]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.9871]  arg1_node[0.0075]  arg2_node[0.0053]  none
none[0.9963]  arg1_node[0.0010]  arg2_node[0.0028]  none
none[0.5680]  arg1_node[0.0047]  arg2_node[0.4273]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9769]  arg1_node[0.0003]  arg2_node[0.0228]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0117]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.9882]  arg1_node[0.0000]  arg2_node[0.0118]  none
none[0.8251]  arg1_node[0.1743]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.8251]  arg1_node[0.1743]  arg2_node[0.0006]  none
none[0.9675]  arg1_node[0.0319]  arg2_node[0.0006]  none
none[0.9432]  arg1_node[0.0563]  arg2_node[0.0006]  none
none[0.4338]  arg1_node[0.5633]  arg2_node[0.0029]  arg1_node
none[0.8973]  arg1_node[0.1014]  arg2_node[0.0013]  none
none[0.9675]  arg1_node[0.0300]  arg2_node[0.0025]  none
none[0.9969]  arg1_node[0.0024]  arg2_node[0.0006]  none
none[0.9952]  arg1_node[0.0042]  arg2_node[0.0006]  none
none[0.9983]  arg1_node[0.0011]  arg2_node[0.0006]  none
none[0.9989]  arg1_node[0.0002]  arg2_node[0.0010]  none
none[0.0636]  arg1_node[0.0003]  arg2_node[0.9361]  arg2_node
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9640]  arg1_node[0.0001]  arg2_node[0.0359]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9986]  arg1_node[0.0001]  arg2_node[0.0013]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0027]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0026]  none
none[0.9973]  arg1_node[0.0000]  arg2_node[0.0026]  none
none[0.0462]  arg1_node[0.9451]  arg2_node[0.0087]  arg1_node
none[0.6899]  arg1_node[0.0130]  arg2_node[0.2970]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9951]  arg1_node[0.0006]  arg2_node[0.0043]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0011]  arg2_node[0.0008]  none
none[0.3505]  arg1_node[0.0003]  arg2_node[0.6492]  arg2_node
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9817]  arg1_node[0.0000]  arg2_node[0.0183]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9965]  arg1_node[0.0000]  arg2_node[0.0034]  none
none[0.9658]  arg1_node[0.0327]  arg2_node[0.0015]  none
none[0.9974]  arg1_node[0.0008]  arg2_node[0.0018]  none
none[0.9658]  arg1_node[0.0327]  arg2_node[0.0015]  none
none[0.1327]  arg1_node[0.8671]  arg2_node[0.0002]  arg1_node
none[0.5657]  arg1_node[0.4315]  arg2_node[0.0027]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.9838]  arg1_node[0.0155]  arg2_node[0.0007]  none
none[0.9831]  arg1_node[0.0161]  arg2_node[0.0008]  none
none[0.9981]  arg1_node[0.0006]  arg2_node[0.0013]  none
none[0.2385]  arg1_node[0.0565]  arg2_node[0.7050]  arg2_node
