0[0.8894]  1[0.1106]  0
0[0.9999]  1[0.0001]  0
0[0.9995]  1[0.0005]  0
0[0.0003]  1[0.9997]  1
0[0.0327]  1[0.9673]  1
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9821]  1[0.0179]  0
0[0.0001]  1[0.9999]  1
0[0.9995]  1[0.0005]  0
0[0.9989]  1[0.0011]  0
0[0.0309]  1[0.9691]  1
0[1.0000]  1[0.0000]  0
0[0.9987]  1[0.0013]  0
0[0.0007]  1[0.9993]  1
0[0.9999]  1[0.0001]  0
0[0.9997]  1[0.0003]  0
0[0.0157]  1[0.9843]  1
0[0.9912]  1[0.0088]  0
0[0.0025]  1[0.9975]  1
0[0.9999]  1[0.0001]  0
0[0.0001]  1[0.9999]  1
0[0.9974]  1[0.0026]  0
0[0.0003]  1[0.9997]  1
0[0.9951]  1[0.0049]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[0.0132]  1[0.9868]  1
0[0.9972]  1[0.0028]  0
0[0.0042]  1[0.9958]  1
0[1.0000]  1[0.0000]  0
0[0.0301]  1[0.9699]  1
0[0.9967]  1[0.0033]  0
0[0.0059]  1[0.9941]  1
0[0.0055]  1[0.9945]  1
0[0.0327]  1[0.9673]  1
0[0.0124]  1[0.9876]  1
0[1.0000]  1[0.0000]  0
0[0.0193]  1[0.9807]  1
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.3706]  1[0.6294]  1
0[0.9973]  1[0.0027]  0
0[0.9999]  1[0.0001]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.1184]  1[0.8816]  1
0[1.0000]  1[0.0000]  0
0[0.0321]  1[0.9679]  1
0[1.0000]  1[0.0000]  0
0[0.9996]  1[0.0004]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[0.9999]  1[0.0001]  0
0[0.9994]  1[0.0006]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9995]  1[0.0005]  0
0[1.0000]  1[0.0000]  0
0[0.9900]  1[0.0100]  0
0[0.0395]  1[0.9605]  1
0[0.9998]  1[0.0002]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[1.0000]  1[0.0000]  0
0[0.9999]  1[0.0001]  0
0[0.9999]  1[0.0001]  0
0[0.9994]  1[0.0006]  0
0[0.9986]  1[0.0014]  0
0[1.0000]  1[0.0000]  0
0[0.9998]  1[0.0002]  0
